Year,StateAbbr,GeographicLevel,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Population2010,GeoLocation,CategoryID,MeasureId,PopulationCount,CountyName,LocationName,TotalPopulation,5Yr_Average
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.2,,4.1,4.3,4254.0,"(42.36148453740, -71.1385871477)",HLTHOUT,CANCER,,Suffolk,25025000100,,4.16
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.9,,3.8,4.1,3854.0,"(42.35406622320, -71.1611676235)",HLTHOUT,CANCER,,Suffolk,25025000201,,3.8600000000000003
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.5,,4.3,4.7,3885.0,"(42.35260513420, -71.1543441945)",HLTHOUT,CANCER,,Suffolk,25025000202,,4.4799999999999995
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.1,,4.9,5.3,2740.0,"(42.35414426160, -71.1688264959)",HLTHOUT,CANCER,,Suffolk,25025000301,,5.0600000000000005
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,4.8,,4.6,5.0,3142.0,"(42.34662695850, -71.1672625179)",HLTHOUT,CANCER,,Suffolk,25025000302,,4.76
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,6.0,,5.6,6.3,5672.0,"(42.34384949170, -71.1492928672)",HLTHOUT,CANCER,,Suffolk,25025000401,,5.86
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.5,,3.3,3.6,3648.0,"(42.34417423100, -71.1588286804)",HLTHOUT,CANCER,,Suffolk,25025000402,,3.4200000000000004
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,2.4,,2.3,2.5,6303.0,"(42.33631848420, -71.1589684157)",HLTHOUT,CANCER,,Suffolk,25025000502,,2.36
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,3.4,,3.3,3.6,2211.0,"(42.33963598400, -71.1500991889)",HLTHOUT,CANCER,,Suffolk,25025000503,,3.34
2015,MA,Census Tract,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,Crude prevalence,5.1,,4.9,5.4,4985.0,"(42.34147184890, -71.1438262063)",HLTHOUT,CANCER,,Suffolk,25025000504,,5.04
